Species,Name,Family,Habitat,Length (cm),Trophic Level,Status
ablennes hians,flat needlefish,belonidae,reef-associated,140.0 tl,4.2,introduced
abudefduf saxatilis,sergeant-major,pomacentridae,reef-associated,22.9 tl,3.8,introduced
abudefduf vaigiensis,indo-pacific sergeant,pomacentridae,reef-associated,20.0 tl,2.6,introduced
acanthocybium solandri,wahoo,scombridae,pelagic-oceanic,250.0 tl,4.3,native
acantholabrus palloni,scale-rayed wrasse,labridae,reef-associated,25.0 tl,3.5,native
acanthopagrus bifasciatus,twobar seabream,sparidae,reef-associated,36.2 sl,3.4,introduced
acanthostracion notacanthus,island cowfish,ostraciidae,demersal,50.0 tl,2.4,questionable
acanthostracion quadricornis,scrawled cowfish,ostraciidae,reef-associated,55.0 tl,2.7,questionable
acanthurus coeruleus,blue tang surgeonfish,acanthuridae,reef-associated,39.0 tl,2.2,introduced
acanthurus monroviae,monrovia doctorfish,acanthuridae,demersal,45.0 sl,2.5,native
acipenser naccarii,adriatic sturgeon,acipenseridae,demersal,200.0 tl,3.3,endemic
acipenser stellatus,starry sturgeon,acipenseridae,demersal,250.0 tl,3.5,native
acipenser sturio,sturgeon,acipenseridae,demersal,600.0 tl,3.5,native
aetomylaeus bovinus,bull ray,myliobatidae,benthopelagic,222.0 wd,3.8,native
aidablennius sphynx,,blenniidae,demersal,8.0 tl,2.1,native
alepes djedaba,shrimp scad,carangidae,reef-associated,40.0 tl,3.6,introduced
alepisaurus ferox,long snouted lancetfish,alepisauridae,bathypelagic,215.0 tl,4.0,error
alepocephalus rostratus,risso's smooth-head,alepocephalidae,bathydemersal,50.0 sl,3.7,native
alopias superciliosus,bigeye thresher,alopiidae,pelagic-oceanic,488.0 tl,4.5,native
alopias vulpinus,thresher,alopiidae,pelagic-oceanic,573.3 tl,4.5,native
alosa algeriensis,north african shad,alosidae,pelagic-neritic,50.0 sl,3.9,native
alosa alosa,allis shad,alosidae,pelagic-neritic,83.0 tl,3.0,native
alosa fallax,twaite shad,alosidae,pelagic-neritic,60.0 sl,4.0,native
aluterus monoceros,unicorn leatherjacket filefish,monacanthidae,reef-associated,76.2 tl,2.0,introduced
ammodytes tobianus,small sandeel,ammodytidae,demersal,20.0 sl,3.1,native
anarchias euryurus,,muraenidae,demersal,25.0 tl,3.4,native
anarhichas lupus,atlantic wolffish,anarhichadidae,demersal,150.0 tl,3.9,questionable
anguilla anguilla,european eel,anguillidae,demersal,133.0 tl,3.5,native
anguilla japonica,japanese eel,anguillidae,demersal,150.0 tl,3.5,questionable
anthias anthias,swallowtail seaperch,anthiadidae,reef-associated,27.0 sl,3.8,native
aphaniops dispar,arabian pupfish,aphaniidae,benthopelagic,7.0 tl,2.9,introduced
aphanius fasciatus,mediterranean banded killifish,aphaniidae,benthopelagic,6.8 tl,2.7,native
aphia minuta,transparent goby,gobiidae,pelagic-neritic,7.9 tl,3.2,native
apletodon dentatus,small-headed clingfish,gobiesocidae,demersal,4.0 sl,3.1,native
apletodon incognitus,,gobiesocidae,demersal,2.7 sl,3.0,native
apogon imberbis,cardinal fish,apogonidae,reef-associated,15.0 sl,3.3,native
apogonichthyoides nigripinnis,bullseye,apogonidae,reef-associated,10.0 tl,3.4,misidentification
apogonichthyoides pharaonis,pharaoh cardinalfish,apogonidae,demersal,9.5 tl,3.4,introduced
