ScientificName,Taxon,PrefTemp,tmin,minmetric,tmax,maxmetric
Actinauge richardi,Cnidaria,14.48,,,,
Actinia cari,Cnidaria,14.38,,,,
Actinia equina,Cnidaria,16.23,,,,
Adamsia palliata,Cnidaria,15.39,,,,
Aequorea forskalea,Cnidaria,13.84,,,,
Alcyonium acaule,Cnidaria,14.56,,,,
Alcyonium palmatum,Cnidaria,14.32,,,,
Amphianthus dohrnii,Cnidaria,15.23,,,,
Andresia parthenopea,Cnidaria,14.43,,,,
Aulactinia verrucosa,Cnidaria,14.8,,,,
Aurelia aurita,Cnidaria,14.42,,,,
Calliactis parasitica,Cnidaria,15.53,,,,
Callogorgia verticillata,Cnidaria,14.18,,,,
Caryophyllia smithii,Cnidaria,13.78,,,,
Cavernularia pusilla,Cnidaria,13.95,,,,
Cereus pedunculatus,Cnidaria,14.48,,,,
Cerianthus membranaceus,Cnidaria,13.39,,,,
Chrysaora hysoscella,Cnidaria,14.07,,,,
Dendrophyllia ramea,Cnidaria,14.95,,,,
Desmophyllum dianthus,Cnidaria,13.73,,,,
Epizoanthus arenaceus,Cnidaria,16.05,,,,
Epizoanthus paguricola,Cnidaria,14.43,,,,
Eunicella cavolini,Cnidaria,15.55,,,,
Eunicella filiformis,Cnidaria,14.43,,,,
Eunicella singularis,Cnidaria,15.24,,,,
Eunicella verrucosa,Cnidaria,14.03,,,,
Funiculina quadrangularis,Cnidaria,14.1,,,,
Halecium halecinum,Cnidaria,15.55,,,,
Hormathia alba,Cnidaria,13.42,,,,
Hormathia coronata,Cnidaria,14.93,,,,
Hydractinia echinata ,Cnidaria,13.79,,,,
Isidella elongata,Cnidaria,14.15,,,,
Leptogorgia sarmentosa,Cnidaria,14.68,,,,
Lophelia pertusa,Cnidaria,14.65,,,,
Lytocarpia myriophyllum,Cnidaria,15.14,,,,
Madrepora oculata,Cnidaria,14.56,,,,
Metridium senile,Cnidaria,14.56,,,,
Nemertesia antennina,Cnidaria,14.79,,,,
Nemertesia ramosa,Cnidaria,14.26,,,,
Paralcyonium spinulosum,Cnidaria,13.99,,,,
Paramuricea clavata,Cnidaria,14.75,,,,
Parantipathes larix,Cnidaria,14.07,,,,
Parazoanthus axinellae,Cnidaria,13.74,,,,
Pelagia noctiluca,Cnidaria,13.96,,,,
Pennatula aculeata,Cnidaria,13.95,,,,
Pennatula phosphorea,Cnidaria,16.89,,,,
Pennatula rubra,Cnidaria,16.31,,,,
Pteroeides spinosum,Cnidaria,14.65,,,,
Rhizostoma pulmo,Cnidaria,16.2,,,,
Sagartia elegans,Cnidaria,15.08,,,,
Sertularella crassicaulis,Cnidaria,15.11,,,,
Sertularella gayi,Cnidaria,14.46,,,,
Telmatactis forskali,Cnidaria,14.54,,,,
Veretillum cynomorium,Cnidaria,14.56,,,,
Virgularia mirabilis,Cnidaria,14.27,,,,
Acanthephyra eximia,Crustaceans,13.09,,,,
Acanthephyra pelagica,Crustaceans,13.25,,,,
Aegaeon cataphractus,Crustaceans,15.08,,,,
Aegaeon lacazei,Crustaceans,14.22,,,,
Allosergestes sargassi,Crustaceans,13.23,,,,
Alpheus glaber,Crustaceans,13.97,,,,
Alpheus macrocheles,Crustaceans,14.6,,,,
Alpheus platydactylus,Crustaceans,13.16,,,,
Amphibalanus amphitrite amphitrite,Crustaceans,15.55,,,,
Anamathia rissoana,Crustaceans,13.83,,,,
Anapagurus bicorniger,Crustaceans,14.48,,,,
Anapagurus laevis,Crustaceans,15.34,,,,
Aristaeomorpha foliacea,Crustaceans,13.94,,,,
Aristeus antennatus,Crustaceans,13.61,,,,
Ascidonia flavomaculata,Crustaceans,14.28,,,,
Atelecyclus rotundatus,Crustaceans,14.84,,,,
Athanas nitescens,Crustaceans,14.68,,,,
Bathynectes longipes,Crustaceans,14.3,,,,
Bathynectes maravigna,Crustaceans,13.73,,,,
